loan_id,customer_id,application_date,loan_type,requested_loan_amount,approved_loan_amount,loan_tenure_months,interest_rate,monthly_income,monthly_expenses,employment_type,credit_score,existing_loan_amount,loan_status,repayment_status,emi_amount,city,income_segment
LOAN000009,CUST001373,2023-01-02,Vehicle,1540400.0,1151900.0,82,10.3,99415.42,35312.3,Salaried,663,179808.12,Approved,On-time,19624.09,Indore,High
LOAN001021,CUST002123,2023-01-02,Personal,521900.0,494000.0,49,13.95,59837.45,31154.32,Self-employed,640,391097.48,Approved,On-time,13281.09,Ahmedabad,Mid
LOAN000148,CUST000989,2023-01-02,Education,2005600.0,1758800.0,48,9.92,163507.01,46267.53,Salaried,740,0.0,Approved,On-time,44540.17,Chandigarh,High
LOAN005805,CUST001736,2023-01-02,Business,1480000.0,1009700.0,99,12.97,49333.33,23520.67,Salaried,617,0.0,Approved,Late,16660.7,Bengaluru,Mid
LOAN002085,CUST002349,2023-01-02,Gold,750000.0,700100.0,33,8.29,214627.76,110403.29,Business,726,0.0,Approved,On-time,23798.1,Jaipur,Premium
LOAN004928,CUST002441,2023-01-02,Personal,267100.0,248000.0,33,13.75,24658.3,7832.88,Salaried,663,0.0,Approved,On-time,9067.78,Ahmedabad,Low
LOAN005268,CUST002182,2023-01-02,Business,644300.0,604800.0,80,14.48,21475.13,12267.4,Salaried,495,0.0,Approved,Late,11829.28,Delhi,Low
LOAN002750,CUST002870,2023-01-02,Personal,256300.0,196700.0,22,14.15,34846.65,20116.17,Unemployed,646,37137.15,Approved,On-time,10203.02,Nagpur,Low
LOAN000818,CUST001320,2023-01-03,Business,1627900.0,1558300.0,49,12.34,54263.23,21600.49,Self-employed,672,0.0,Approved,On-time,40644.19,Coimbatore,Mid
LOAN002909,CUST001268,2023-01-03,Personal,104600.0,93400.0,20,12.2,252714.21,118333.91,Salaried,780,1293244.34,Approved,On-time,5184.48,Ahmedabad,Premium
LOAN004455,CUST001017,2023-01-03,Personal,601600.0,470700.0,40,13.43,70716.34,37009.89,Salaried,680,334363.66,Approved,On-time,14661.97,Delhi,Mid
LOAN003359,CUST001670,2023-01-03,Personal,557900.0,456700.0,11,13.67,133370.32,20005.55,Business,677,179063.97,Approved,On-time,44409.51,Jaipur,High
LOAN003140,CUST002301,2023-01-03,Home,1149200.0,0.0,190,8.55,19154.08,7532.81,Freelancer,708,0.0,Rejected,Not Started,0.0,Kolkata,Low
LOAN001809,CUST002591,2023-01-04,Home,4342300.0,3549700.0,191,9.05,72371.33,29404.1,Salaried,706,116711.01,Approved,On-time,35136.82,Chennai,Mid
LOAN002605,CUST001406,2023-01-04,Business,518000.0,424500.0,61,12.52,166737.77,63178.67,Self-employed,688,0.0,Approved,On-time,9441.86,Nagpur,High
LOAN006579,CUST000033,2023-01-04,Personal,302500.0,266500.0,46,13.4,42782.37,17289.45,Salaried,691,0.0,Approved,On-time,7439.86,Kanpur,Mid
LOAN005290,CUST001880,2023-01-04,Personal,827800.0,0.0,14,13.68,139880.98,104369.07,Self-employed,669,0.0,Rejected,Not Started,0.0,Ahmedabad,High
LOAN005330,CUST001896,2023-01-04,Education,2011900.0,1784700.0,25,9.79,169958.16,45908.35,Salaried,740,683005.0,Approved,On-time,79205.2,Ahmedabad,High
LOAN002471,CUST001924,2023-01-04,Gold,286600.0,252100.0,13,8.42,101580.94,74732.84,Self-employed,788,0.0,Approved,On-time,20358.11,Surat,High
LOAN001041,CUST002415,2023-01-04,Business,532700.0,421600.0,79,13.7,17756.28,5278.45,Self-employed,576,32305.14,Approved,Default,8128.73,Pune,Low
LOAN006495,CUST001159,2023-01-04,Vehicle,1780600.0,1442100.0,22,9.22,142700.46,21405.07,Self-employed,800,0.0,Approved,On-time,71496.97,Lucknow,High
LOAN005257,CUST001311,2023-01-04,Vehicle,293400.0,0.0,13,9.75,364401.99,137583.42,Salaried,714,0.0,Rejected,Not Started,0.0,Patna,Premium
LOAN005406,CUST000139,2023-01-04,Business,438600.0,438600.0,57,11.85,35503.33,22377.61,Self-employed,732,0.0,Approved,On-time,10099.37,Indore,Mid
LOAN000135,CUST000107,2023-01-04,Personal,267700.0,255000.0,38,13.69,22306.03,11067.09,Salaried,657,47240.88,Approved,On-time,8307.47,Jaipur,Low
LOAN002726,CUST002753,2023-01-04,Personal,98800.0,63600.0,45,14.13,29234.93,17977.56,Salaried,606,0.0,Approved,Late,1828.81,Bengaluru,Low
LOAN000432,CUST000953,2023-01-04,Education,466800.0,423000.0,18,10.85,18673.17,6081.94,Freelancer,590,0.0,Approved,On-time,25570.01,Delhi,Low
LOAN001605,CUST002474,2023-01-05,Business,4134000.0,4134000.0,112,12.36,137800.54,47409.58,Salaried,725,278758.18,Approved,On-time,62376.33,Bhopal,High
LOAN006031,CUST002140,2023-01-05,Vehicle,220400.0,0.0,39,9.61,102696.25,26285.35,Freelancer,766,0.0,Rejected,Not Started,0.0,Coimbatore,High
LOAN004536,CUST001880,2023-01-05,Education,2105900.0,1614200.0,124,10.06,145684.57,92383.49,Salaried,733,149556.04,Approved,On-time,20985.48,Ahmedabad,High
LOAN005216,CUST002792,2023-01-05,Vehicle,1318400.0,0.0,45,10.08,123841.71,54075.43,Salaried,653,0.0,Rejected,Not Started,0.0,Coimbatore,High
LOAN002257,CUST002233,2023-01-05,Education,1133800.0,992600.0,109,10.39,45350.04,14185.26,Business,727,0.0,Approved,On-time,14106.22,Kanpur,Mid
LOAN003013,CUST002190,2023-01-05,Personal,646300.0,0.0,48,13.1,55188.51,33743.88,Salaried,727,217616.56,Rejected,Not Started,0.0,Ahmedabad,Mid
LOAN006776,CUST001776,2023-01-05,Personal,669000.0,651800.0,41,13.96,63390.62,22599.56,Salaried,644,161941.55,Approved,On-time,20079.69,Jaipur,Mid
LOAN001161,CUST002244,2023-01-05,Personal,291000.0,245000.0,53,14.48,77710.64,22204.76,Business,627,20431.86,Approved,On-time,6284.21,Vadodara,High
LOAN007795,CUST002236,2023-01-05,Personal,223200.0,0.0,31,11.43,97831.34,37199.27,Salaried,846,983632.91,Rejected,Not Started,0.0,Coimbatore,High
LOAN002511,CUST000502,2023-01-05,Gold,116600.0,95200.0,26,8.72,18344.81,5568.74,Salaried,677,13622.51,Approved,On-time,4031.57,Coimbatore,Low
LOAN001416,CUST002813,2023-01-05,Gold,294000.0,205700.0,5,8.97,65234.77,34387.53,Salaried,654,64788.16,Approved,On-time,42067.14,Bhopal,Mid
LOAN005738,CUST002766,2023-01-05,Gold,566500.0,358200.0,21,8.26,130346.84,55206.78,Salaried,749,25194.85,Approved,On-time,18378.17,Surat,High
LOAN000291,CUST000248,2023-01-06,Business,684400.0,0.0,69,12.68,22814.06,11207.9,Salaried,673,360663.3,Rejected,Not Started,0.0,Vadodara,Low
LOAN003914,CUST002521,2023-01-06,Home,5813200.0,3645000.0,204,8.55,96887.15,52051.73,Self-employed,710,0.0,Approved,On-time,33946.69,Lucknow,High
LOAN000636,CUST000901,2023-01-06,Personal,579000.0,562100.0,7,14.06,64696.95,21414.57,Self-employed,625,0.0,Approved,On-time,84107.23,Nagpur,Mid
LOAN004095,CUST001388,2023-01-06,Personal,286200.0,260400.0,56,14.4,31969.96,25197.7,Self-employed,622,324151.65,Approved,On-time,6412.91,Kanpur,Low
LOAN005372,CUST001254,2023-01-06,Personal,169100.0,0.0,34,13.98,170453.1,92554.21,Salaried,663,0.0,Rejected,Not Started,0.0,Bhopal,High
LOAN002624,CUST000193,2023-01-06,Business,1049000.0,0.0,35,13.88,34967.84,9910.24,Salaried,532,0.0,Rejected,Not Started,0.0,Patna,Low
LOAN005208,CUST000542,2023-01-06,Personal,896400.0,888900.0,41,12.33,427544.65,258783.45,Business,771,1236730.14,Approved,On-time,26676.48,Delhi,Premium
LOAN001835,CUST002397,2023-01-07,Home,3333900.0,3001200.0,63,8.55,55565.38,35155.94,Salaried,713,0.0,Approved,On-time,59293.78,Jaipur,Mid
LOAN005177,CUST002577,2023-01-07,Personal,537300.0,530700.0,37,12.41,447947.39,220061.46,Freelancer,768,0.0,Approved,On-time,17335.13,Indore,Premium
LOAN004962,CUST002216,2023-01-07,Business,1182800.0,0.0,19,12.02,39426.23,12655.9,Business,702,0.0,Rejected,Not Started,0.0,Lucknow,Mid
LOAN003871,CUST000263,2023-01-07,Home,4340000.0,0.0,228,8.78,72334.08,34277.37,Salaried,711,249602.83,Rejected,Not Started,0.0,Hyderabad,Mid
LOAN000908,CUST002682,2023-01-07,Vehicle,255400.0,0.0,62,9.71,136568.8,43858.91,Salaried,685,0.0,Rejected,Not Started,0.0,Bengaluru,High
LOAN001448,CUST001498,2023-01-07,Vehicle,1322700.0,0.0,68,9.97,68259.01,26292.39,Salaried,646,0.0,Rejected,Not Started,0.0,Mumbai,Mid
LOAN007121,CUST000496,2023-01-07,Personal,270800.0,250900.0,6,13.92,74210.78,27304.4,Salaried,645,0.0,Approved,On-time,43530.74,Ludhiana,Mid
LOAN001663,CUST001682,2023-01-07,Gold,174700.0,160300.0,16,8.66,39032.03,15064.69,Freelancer,658,8296.53,Approved,On-time,10644.36,Coimbatore,Mid
LOAN007879,CUST000643,2023-01-07,Vehicle,1076700.0,1010000.0,72,9.54,53835.29,21886.56,Salaried,757,92799.72,Approved,On-time,18477.66,Lucknow,Mid
LOAN004071,CUST000903,2023-01-07,Vehicle,374100.0,322500.0,20,10.17,19589.16,8575.04,Salaried,659,69686.89,Approved,On-time,17598.25,Coimbatore,Low
LOAN002428,CUST001288,2023-01-07,Home,3735500.0,0.0,284,8.78,62258.8,27469.43,Salaried,738,20716.58,Rejected,Not Started,0.0,Bengaluru,Mid
LOAN002406,CUST000205,2023-01-07,Vehicle,905100.0,783700.0,21,10.0,59622.08,30161.35,Salaried,677,0.0,Approved,On-time,40834.54,Ludhiana,Mid
LOAN007935,CUST002670,2023-01-07,Personal,79300.0,64600.0,57,14.34,25881.21,17003.58,Business,620,48426.19,Approved,On-time,1569.31,Mumbai,Low
LOAN004195,CUST002697,2023-01-07,Personal,155500.0,155500.0,10,13.7,15044.75,8730.5,Salaried,644,3256.48,Approved,On-time,16543.03,Patna,Low
LOAN000792,CUST000436,2023-01-07,Personal,468900.0,468900.0,39,12.04,85918.22,41816.46,Self-employed,806,230855.22,Approved,Late,14587.87,Surat,High
LOAN004577,CUST002541,2023-01-07,Business,1685000.0,1330000.0,60,12.03,154008.78,96825.11,Salaried,754,61487.87,Approved,On-time,29605.28,Chennai,High
LOAN005977,CUST002497,2023-01-07,Business,1367400.0,1338900.0,67,12.75,45579.96,15354.24,Business,658,14019.48,Approved,On-time,28035.0,Lucknow,Mid
LOAN001466,CUST001162,2023-01-07,Home,9460400.0,0.0,170,8.98,242978.06,138451.67,Freelancer,720,180876.39,Rejected,Not Started,0.0,Coimbatore,Premium
LOAN001375,CUST000889,2023-01-07,Vehicle,902600.0,845200.0,50,10.32,51482.24,19738.42,Salaried,653,0.0,Approved,On-time,20869.5,Chennai,Mid
LOAN003392,CUST002161,2023-01-08,Vehicle,546800.0,0.0,19,9.93,36747.63,16949.19,Freelancer,656,27184.95,Rejected,Not Started,0.0,Surat,Mid
LOAN000079,CUST000403,2023-01-08,Education,688800.0,528700.0,55,10.02,69189.29,42776.98,Salaried,725,120804.18,Approved,On-time,12027.79,Lucknow,Mid
LOAN000484,CUST002991,2023-01-08,Home,1842700.0,1502500.0,196,9.02,30711.71,8683.04,Self-employed,601,106259.34,Approved,Late,14675.68,Jaipur,Low
LOAN004517,CUST002958,2023-01-08,Business,691500.0,548800.0,64,13.56,23050.26,13399.53,Unemployed,581,0.0,Approved,On-time,12092.56,Mumbai,Low
LOAN004739,CUST000581,2023-01-08,Business,899600.0,633900.0,110,11.24,81498.48,28809.35,Salaried,795,0.0,Approved,On-time,9257.19,Kanpur,High
LOAN001435,CUST000023,2023-01-08,Vehicle,652600.0,523900.0,27,10.3,32629.03,13719.41,Freelancer,655,79202.65,Approved,On-time,21821.66,Pune,Low
LOAN001942,CUST002211,2023-01-08,Home,3462300.0,2591400.0,165,8.81,72634.93,43624.55,Salaried,657,153175.14,Approved,On-time,27144.27,Ahmedabad,Mid
LOAN000304,CUST002871,2023-01-08,Gold,235700.0,207900.0,20,8.91,70321.45,40075.11,Salaried,664,350111.4,Approved,On-time,11224.4,Nagpur,Mid
LOAN007841,CUST001465,2023-01-09,Personal,471600.0,358800.0,12,12.91,67655.88,25385.91,Business,728,0.0,Approved,On-time,32031.89,Vadodara,Mid
LOAN003921,CUST000605,2023-01-09,Education,361900.0,0.0,47,10.67,27826.5,6039.72,Unemployed,634,67767.34,Rejected,Not Started,0.0,Patna,Low
LOAN006933,CUST000916,2023-01-09,Personal,677100.0,579200.0,46,13.32,128079.82,48577.99,Salaried,704,177902.5,Approved,On-time,16146.51,Bhopal,High
LOAN003813,CUST002717,2023-01-09,Business,795100.0,670500.0,114,12.76,26503.25,14304.17,Salaried,642,0.0,Approved,On-time,10177.25,Ahmedabad,Low
LOAN002058,CUST002443,2023-01-09,Gold,269700.0,201800.0,35,9.56,33710.48,18847.1,Salaried,581,47358.4,Approved,Late,6629.65,Surat,Low
LOAN007025,CUST000727,2023-01-09,Personal,272400.0,206100.0,28,13.96,49720.3,18527.35,Salaried,630,0.0,Approved,On-time,8666.86,Kolkata,Mid
LOAN002769,CUST000103,2023-01-09,Business,478500.0,0.0,114,11.67,58945.2,23956.64,Salaried,744,0.0,Rejected,Not Started,0.0,Hyderabad,Mid
LOAN000978,CUST002834,2023-01-09,Personal,387100.0,334100.0,28,13.57,33478.56,16369.23,Salaried,689,0.0,Approved,On-time,13987.51,Nagpur,Low
LOAN007342,CUST000915,2023-01-09,Personal,156400.0,87900.0,57,14.55,31046.57,14660.36,Salaried,596,40591.53,Approved,On-time,2144.87,Kolkata,Low
LOAN006678,CUST000527,2023-01-09,Gold,136200.0,117800.0,17,8.83,41508.72,22291.23,Salaried,697,122287.56,Approved,On-time,7397.28,Pune,Mid
LOAN005571,CUST000018,2023-01-09,Personal,877400.0,766700.0,15,12.6,93755.14,44397.47,Self-employed,754,0.0,Approved,On-time,55511.45,Surat,High
LOAN004745,CUST000400,2023-01-09,Personal,1200000.0,1103000.0,45,12.43,423570.03,225524.92,Salaried,774,0.0,Approved,On-time,30790.4,Indore,Premium
LOAN005694,CUST002195,2023-01-09,Personal,627600.0,527600.0,19,12.41,151020.8,39951.01,Salaried,790,529355.63,Approved,On-time,30728.72,Kolkata,High
LOAN002218,CUST002430,2023-01-10,Education,417900.0,353000.0,14,10.27,17693.53,5031.16,Business,678,0.0,Approved,On-time,26862.6,Hyderabad,Low
LOAN001976,CUST000871,2023-01-10,Home,7463700.0,5730600.0,359,9.18,124395.72,59542.41,Salaried,686,0.0,Approved,On-time,46878.49,Patna,High
LOAN007688,CUST001880,2023-01-10,Vehicle,2277700.0,1844700.0,61,9.57,140857.58,70452.39,Salaried,780,0.0,Approved,On-time,38308.87,Ahmedabad,High
LOAN002504,CUST000113,2023-01-10,Personal,1008700.0,737600.0,16,12.38,160628.39,85712.29,Salaried,803,527881.89,Approved,On-time,50246.27,Ahmedabad,High
LOAN002521,CUST001984,2023-01-10,Vehicle,1452800.0,1177000.0,13,9.5,137860.11,55377.6,Salaried,794,120126.1,Approved,On-time,95634.92,Chennai,High
LOAN000499,CUST001717,2023-01-10,Business,1316000.0,1104300.0,30,12.78,49679.79,25780.43,Unemployed,631,280056.1,Approved,On-time,43197.02,Nagpur,Mid
LOAN004429,CUST001947,2023-01-11,Personal,571700.0,0.0,24,13.89,54109.59,25239.41,Business,677,24956.08,Rejected,Not Started,0.0,Chennai,Mid
LOAN000565,CUST000762,2023-01-11,Education,382500.0,318700.0,166,10.9,15300.9,10543.76,Salaried,624,32077.47,Approved,On-time,3725.21,Ahmedabad,Low
LOAN003340,CUST002062,2023-01-11,Home,12778000.0,10670600.0,209,8.29,309465.3,161035.89,Salaried,789,264943.84,Approved,On-time,96638.01,Ahmedabad,Premium
LOAN004905,CUST001703,2023-01-11,Education,1098600.0,906900.0,149,10.4,43943.63,15370.36,Salaried,673,0.0,Approved,On-time,10862.64,Pune,Mid
LOAN002727,CUST002519,2023-01-11,Personal,703900.0,640900.0,39,14.19,73497.68,45238.68,Salaried,612,0.0,Approved,On-time,20608.17,Kanpur,Mid
LOAN002325,CUST001054,2023-01-11,Personal,153200.0,133700.0,39,13.78,18389.48,10936.59,Business,637,0.0,Approved,On-time,4272.3,Lucknow,Low
LOAN003602,CUST002363,2023-01-11,Home,3685700.0,3156200.0,306,8.65,61428.61,26136.01,Business,688,0.0,Approved,On-time,25592.85,Mumbai,Mid
LOAN005790,CUST000174,2023-01-12,Education,294800.0,0.0,66,11.45,17407.71,9051.62,Self-employed,548,0.0,Rejected,Not Started,0.0,Kolkata,Low
LOAN003788,CUST001433,2023-01-12,Business,803300.0,662800.0,13,13.27,26775.74,15832.47,Salaried,629,277789.2,Approved,On-time,55018.03,Vadodara,Low
LOAN004973,CUST000071,2023-01-12,Business,1604400.0,1588300.0,105,12.49,53481.28,31958.58,Salaried,695,43119.27,Approved,On-time,24940.12,Lucknow,Mid
LOAN002277,CUST000850,2023-01-12,Education,628300.0,0.0,44,10.45,74706.74,40745.09,Salaried,644,168142.95,Rejected,Not Started,0.0,Ludhiana,Mid
LOAN006153,CUST001357,2023-01-12,Gold,165400.0,124600.0,12,9.02,35356.84,10999.42,Salaried,676,30912.91,Approved,On-time,10897.61,Jaipur,Mid
LOAN006240,CUST001195,2023-01-12,Home,2986200.0,2620500.0,235,9.03,61246.04,25542.74,Freelancer,653,0.0,Approved,On-time,23808.15,Chennai,Mid
LOAN001694,CUST001847,2023-01-12,Business,2199000.0,2087400.0,13,12.94,73300.92,38831.69,Salaried,652,199690.7,Approved,On-time,172949.44,Delhi,Mid
LOAN001279,CUST000923,2023-01-12,Education,1191600.0,987700.0,89,10.12,65037.12,30306.87,Salaried,699,382523.07,Approved,On-time,15823.33,Jaipur,Mid
LOAN002256,CUST001482,2023-01-12,Business,1303500.0,1303500.0,114,13.08,43450.55,25380.48,Salaried,597,1683.88,Approved,On-time,20027.84,Vadodara,Mid
LOAN002223,CUST001555,2023-01-12,Personal,131600.0,68200.0,60,15.73,47108.71,30632.0,Salaried,484,0.0,Approved,On-time,1648.72,Kanpur,Mid
LOAN007445,CUST001846,2023-01-12,Vehicle,313900.0,0.0,29,10.11,20807.48,13397.68,Salaried,691,56649.34,Rejected,Not Started,0.0,Chennai,Low
LOAN005041,CUST000044,2023-01-12,Vehicle,734400.0,540300.0,78,10.72,36722.4,21575.47,Self-employed,593,99534.35,Approved,On-time,9647.97,Surat,Mid
LOAN006054,CUST002258,2023-01-13,Personal,876500.0,0.0,37,13.28,141538.9,46302.56,Salaried,720,30133.53,Rejected,Not Started,0.0,Jaipur,High
LOAN004917,CUST002824,2023-01-13,Personal,374100.0,339200.0,39,15.22,31171.17,11965.99,Freelancer,542,92721.93,Approved,Late,11079.09,Chandigarh,Low
LOAN005631,CUST002246,2023-01-13,Personal,550700.0,508600.0,53,12.38,55916.33,21871.01,Salaried,788,0.0,Approved,On-time,12505.86,Patna,Mid
LOAN001963,CUST001341,2023-01-13,Home,3926000.0,3086500.0,78,9.07,69181.49,39450.48,Business,624,43224.75,Approved,On-time,52519.57,Lucknow,Mid
LOAN002693,CUST002428,2023-01-13,Education,548800.0,475000.0,73,10.69,21952.38,11160.22,Business,663,21097.62,Approved,On-time,8878.24,Chandigarh,Low
LOAN007210,CUST002243,2023-01-13,Business,753300.0,0.0,16,12.53,25110.43,11297.88,Freelancer,706,161861.06,Rejected,Not Started,0.0,Chennai,Low
LOAN002501,CUST002072,2023-01-13,Education,1205500.0,1097300.0,142,10.68,48218.36,26240.85,Salaried,688,76287.51,Approved,On-time,13642.72,Bengaluru,Mid
LOAN006179,CUST000720,2023-01-13,Home,1022900.0,882400.0,207,9.51,17048.01,11124.7,Freelancer,471,0.0,Approved,Late,8688.55,Hyderabad,Low
LOAN004322,CUST002707,2023-01-13,Personal,50500.0,45200.0,36,14.77,18941.2,4331.21,Unemployed,592,100653.77,Approved,On-time,1561.79,Kolkata,Low
LOAN006411,CUST002279,2023-01-13,Home,9525900.0,8399500.0,264,8.95,158764.89,79089.97,Business,663,632897.1,Approved,On-time,72897.06,Coimbatore,High
LOAN004268,CUST002596,2023-01-13,Education,1576600.0,0.0,39,10.25,63063.45,36500.46,Self-employed,714,0.0,Rejected,Not Started,0.0,Kolkata,Mid
LOAN000249,CUST002895,2023-01-13,Personal,54000.0,0.0,9,14.47,22230.31,10223.49,Unemployed,592,7.25,Rejected,Not Started,0.0,Pune,Low
LOAN001234,CUST001761,2023-01-13,Personal,1200000.0,700500.0,56,12.05,467774.58,220687.4,Business,821,1636128.3,Approved,On-time,16415.01,Kanpur,Premium
LOAN002709,CUST002967,2023-01-13,Education,640400.0,0.0,173,11.88,25615.3,9710.69,Salaried,509,0.0,Rejected,Not Started,0.0,Indore,Low
LOAN004483,CUST002086,2023-01-13,Personal,609500.0,430500.0,32,12.66,63425.26,23038.94,Salaried,776,5084.44,Approved,On-time,15921.72,Patna,Mid
LOAN006753,CUST000700,2023-01-13,Personal,139800.0,131000.0,24,14.12,37739.78,13132.16,Business,657,0.0,Approved,On-time,6297.12,Lucknow,Mid
LOAN004360,CUST001992,2023-01-13,Business,3882600.0,0.0,52,12.84,129421.57,55286.67,Salaried,651,272615.82,Rejected,Not Started,0.0,Chennai,High
LOAN002473,CUST002163,2023-01-13,Home,5184800.0,0.0,302,8.61,213082.24,40826.57,Business,711,753274.12,Rejected,Not Started,0.0,Coimbatore,Premium
LOAN005130,CUST000157,2023-01-14,Personal,348400.0,307100.0,55,12.53,32007.43,8274.0,Salaried,752,0.0,Approved,On-time,7367.9,Vadodara,Low
LOAN006412,CUST002335,2023-01-14,Home,5820700.0,5820700.0,140,9.22,97010.84,25944.61,Freelancer,661,517458.18,Approved,On-time,68016.28,Chandigarh,High
LOAN002362,CUST001887,2023-01-14,Home,10807000.0,10807000.0,190,8.4,180116.44,69665.32,Business,743,193871.85,Approved,On-time,103022.7,Patna,Premium
LOAN004027,CUST000521,2023-01-14,Personal,572300.0,0.0,22,14.17,47695.3,24768.26,Salaried,630,7913.6,Rejected,Not Started,0.0,Ahmedabad,Mid
LOAN001124,CUST000400,2023-01-14,Personal,543800.0,329900.0,36,12.34,184140.5,92349.91,Business,786,31938.36,Approved,On-time,11011.05,Indore,Premium
LOAN002643,CUST001478,2023-01-14,Education,1320500.0,881700.0,37,10.43,54624.65,24969.87,Salaried,704,46651.43,Approved,On-time,27969.0,Vadodara,Mid
LOAN005153,CUST000878,2023-01-14,Home,4258000.0,3350100.0,258,8.71,102750.75,51981.27,Self-employed,706,226310.35,Approved,On-time,28768.29,Vadodara,High
LOAN007699,CUST001903,2023-01-14,Business,2571900.0,1982200.0,29,12.4,85730.41,60567.13,Self-employed,689,0.0,Approved,On-time,79453.76,Ahmedabad,High
LOAN007746,CUST001258,2023-01-14,Gold,340700.0,279000.0,24,8.39,82928.19,43145.96,Salaried,711,171214.15,Approved,On-time,12668.1,Mumbai,High
LOAN003077,CUST001255,2023-01-15,Gold,216900.0,205700.0,15,8.68,73435.73,24914.22,Salaried,709,138508.92,Approved,On-time,14520.22,Ahmedabad,Mid
LOAN001492,CUST001571,2023-01-15,Personal,587400.0,529400.0,31,13.44,64833.14,35631.74,Salaried,682,0.0,Approved,On-time,20307.78,Nagpur,Mid
LOAN004327,CUST002648,2023-01-15,Business,884700.0,732500.0,102,12.41,52081.02,22938.79,Salaried,664,0.0,Approved,On-time,11656.71,Kolkata,Mid
LOAN001199,CUST001607,2023-01-15,Vehicle,710100.0,567400.0,31,10.17,153644.79,53185.21,Business,681,81711.74,Approved,On-time,20889.75,Chennai,High
LOAN007512,CUST001737,2023-01-15,Vehicle,1824600.0,0.0,56,9.77,91230.11,45586.84,Salaried,738,0.0,Rejected,Not Started,0.0,Chandigarh,High
LOAN007613,CUST002909,2023-01-15,Personal,304800.0,300000.0,14,11.69,139834.74,56728.08,Salaried,849,0.0,Approved,On-time,23027.07,Ahmedabad,High
LOAN003890,CUST001805,2023-01-15,Home,1946800.0,1802500.0,67,9.17,168144.66,89709.89,Self-employed,671,0.0,Approved,On-time,34475.63,Lucknow,High
LOAN003885,CUST000835,2023-01-15,Home,4306300.0,2626500.0,241,8.77,71772.01,27834.9,Salaried,776,0.0,Approved,Late,23208.67,Kanpur,Mid
LOAN004871,CUST002678,2023-01-15,Personal,461200.0,446100.0,9,13.08,38437.01,14505.98,Freelancer,707,0.0,Approved,On-time,52307.09,Lucknow,Mid
LOAN001275,CUST002952,2023-01-15,Personal,137200.0,124600.0,25,13.2,48285.84,21359.41,Self-employed,690,0.0,Approved,On-time,5727.86,Ahmedabad,Mid
LOAN005249,CUST001718,2023-01-15,Gold,243100.0,194700.0,13,8.96,30385.61,13452.57,Salaried,640,89892.31,Approved,On-time,15771.36,Chennai,Low
LOAN007464,CUST001427,2023-01-15,Education,385300.0,0.0,170,10.48,15412.33,8039.36,Unemployed,635,0.0,Rejected,Not Started,0.0,Hyderabad,Low
LOAN007211,CUST002928,2023-01-15,Personal,645400.0,556800.0,7,13.85,86872.91,39832.2,Salaried,659,0.0,Approved,On-time,83257.22,Chennai,High
LOAN002407,CUST001166,2023-01-15,Vehicle,518600.0,0.0,39,10.25,25927.69,12759.56,Unemployed,600,0.0,Rejected,Not Started,0.0,Hyderabad,Low
